,Airport,Degree,Strength,Cluster_Coefficient,Average Length,Max Length,EigenVector Centrality,Betweenness,PageRank
166,ASU,8,8.0,0.42857143,5.56861137,13.0,0.01039797,7534.701689256714,0.0003617438281170949
167,ASV,1,1.0,,6.16872881,13.0,0.00234472,0.0,6.936672406726808e-05
168,ASW,4,4.0,0.5,5.26356215,12.0,0.02578625,3616.0,0.0001662598009035489
169,ATC,1,1.0,,6.03715632,13.0,0.00244519,0.0,7.014304927355379e-05
170,ATD,1,1.0,,7.16975095,11.0,2.089e-05,0.0,0.00010849477460680224
171,ATH,95,95.0,0.20918253,4.42208693,11.0,0.4326427,107842.25911670156,0.002601107750241223
172,ATK,3,3.0,1.0,6.72035512,14.0,2.799e-05,0.0,0.00021497865754202368
173,ATL,172,172.0,0.1378349,4.52885451,12.0,0.60864673,162809.45400880638,0.0038189949702096566
174,ATM,2,2.0,1.0,6.87415271,14.0,0.00022169,0.0,0.0001306406745925732
175,ATN,3,3.0,0.66666667,7.72806148,12.0,5.64e-06,7.083333333333333,0.00022166360069322745
176,ATP,2,2.0,0.0,8.72609274,13.0,5e-08,3616.5000000000005,0.00021594706757132478
177,ATQ,5,5.0,0.6,5.77266031,12.0,0.01103029,26.630075963614523,0.00016509119379571311
178,ATT,2,2.0,0.0,6.72703283,14.0,2.586e-05,1807.4999999999998,0.0001863200723717132
179,ATW,9,9.0,0.75,5.51088895,13.0,0.04222556,7.512903147878733,0.00023100382885990432
180,ATY,1,1.0,,6.62808613,14.0,0.00012658,0.0,9.358680680526979e-05
181,ATZ,3,3.0,0.66666667,5.68261965,12.0,0.00993451,0.7666666666666666,0.00011882463774004736
182,AUA,23,23.0,0.38339921,4.88661308,12.0,0.09703355,6258.414255234225,0.0006166830565794574
183,AUC,1,1.0,,5.96182028,13.0,0.00247156,0.0,7.175812045606324e-05
184,AUG,2,2.0,1.0,5.67877322,13.0,0.00791982,0.0,0.00010245724848562377
185,AUH,61,61.0,0.29836066,4.69843538,11.0,0.25909964,27259.47488014327,0.0014201918313671818
186,AUK,4,4.0,0.5,6.72931338,14.0,5.29e-05,27.033333333333328,0.00027041928108010487
187,AUL,1,1.0,,6.59606914,13.0,4.892e-05,0.0,0.00010687048187965446
188,AUP,3,3.0,0.33333333,8.72858892,13.0,5e-08,1808.0,0.00028020786656244434
189,AUQ,2,2.0,1.0,6.07039587,13.0,0.00044727,0.0,0.00014353529951526933
190,AUR,1,1.0,,5.28322669,12.0,0.01598316,0.0,6.234932833210316e-05
191,AUS,33,33.0,0.60606061,4.95481523,12.0,0.18740624,1271.763345657218,0.0007139563096697416
192,AUU,1,1.0,,6.14303361,11.0,0.00044066,0.0,8.379147640100725e-05
193,AUV,2,2.0,1.0,8.72636895,13.0,1e-07,0.0,0.00016406003369314257
194,AUW,6,6.0,1.0,5.5298038,13.0,0.03312334,0.0,0.0001627045098912918
195,AUX,1,1.0,,7.74759725,15.0,3.51e-06,0.0,9.276367383079282e-05
196,AUY,2,2.0,1.0,7.85320254,13.0,1.67e-06,0.0,0.00016202093049495493
197,AVI,7,7.0,0.85714286,5.11564479,12.0,0.06296538,33.67143105326994,0.00018890994031425055
198,AVK,2,2.0,1.0,6.44216912,13.0,0.00050772,0.0,0.00015032902005307353
